"module","Trait","Cor","pvalue","label","sig","trait_type"
"MEbrown","Shell Growth",0.274957044478893,0.00798813957196765,"0.27
(0.008)",TRUE,"Growth Data"
"MEbrown","Tissue Growth",0.234808463206836,0.0242586081129461,"0.23
(0.02)",TRUE,"Growth Data"
"MEbrown","Tissue:Shell Growth",0.051299542770883,0.627222227109941,"0.05
(0.6)",FALSE,"Growth Data"
"MEbrown","Phase 1 Interaction",-0.00966820926382403,0.927120410036179,"-0.01
(0.9)",FALSE,"Treatment Data"
"MEbrown","Phase 2 Interaction",-0.430844485207307,1.80977557020891e-05,"-0.43
(2e-05)",TRUE,"Treatment Data"
"MEbrown","Phase 1 Temp",-0.0562217896091984,0.594512233555395,"-0.06
(0.6)",FALSE,"Treatment Data"
"MEbrown","Phase 2 Temp",-0.370220387180891,0.000280750702822076,"-0.37
(0.0003)",TRUE,"Treatment Data"
"MEbrown","Phase 1 DO",0.0174020892433081,0.869223211063056,"0.02
(0.9)",FALSE,"Treatment Data"
"MEbrown","Phase 2 DO",-0.296672562897775,0.00408366290384024,"-0.30
(0.004)",TRUE,"Treatment Data"
"MEblue","Shell Growth",0.257607022788813,0.0131718296551847,"0.26
(0.01)",TRUE,"Growth Data"
"MEblue","Tissue Growth",0.171057736744774,0.103030594960756,"0.17
(0.1)",FALSE,"Growth Data"
"MEblue","Tissue:Shell Growth",-0.00425504292288278,0.96788975646285,"-0.00
(1)",FALSE,"Growth Data"
"MEblue","Phase 1 Interaction",-0.0224060478506779,0.832107463267366,"-0.02
(0.8)",FALSE,"Treatment Data"
"MEblue","Phase 2 Interaction",-0.0466102577644329,0.659070258738921,"-0.05
(0.7)",FALSE,"Treatment Data"
"MEblue","Phase 1 Temp",-0.051227874389442,0.627704062540867,"-0.05
(0.6)",FALSE,"Treatment Data"
"MEblue","Phase 2 Temp",-0.0324599804047867,0.75871456192741,"-0.03
(0.8)",FALSE,"Treatment Data"
"MEblue","Phase 1 DO",0.000786965589081967,0.994059722063412,"0.00
(1)",FALSE,"Treatment Data"
"MEblue","Phase 2 DO",-0.0358873577714642,0.734140847422247,"-0.04
(0.7)",FALSE,"Treatment Data"
"MEpurple","Shell Growth",0.209581676649318,0.0449546201465719,"0.21
(0.04)",TRUE,"Growth Data"
"MEpurple","Tissue Growth",0.157469423182372,0.133844492859795,"0.16
(0.1)",FALSE,"Growth Data"
"MEpurple","Tissue:Shell Growth",0.142178127918342,0.176388701966864,"0.14
(0.2)",FALSE,"Growth Data"
"MEpurple","Phase 1 Interaction",-0.0591188604429554,0.575626025886498,"-0.06
(0.6)",FALSE,"Treatment Data"
"MEpurple","Phase 2 Interaction",-0.279086353182523,0.00705885473336217,"-0.28
(0.007)",TRUE,"Treatment Data"
"MEpurple","Phase 1 Temp",-0.0344962734080243,0.744084026473675,"-0.03
(0.7)",FALSE,"Treatment Data"
"MEpurple","Phase 2 Temp",-0.466758594771536,2.73312657796375e-06,"-0.47
(3e-06)",TRUE,"Treatment Data"
"MEpurple","Phase 1 DO",-0.0482702835113297,0.64772246178861,"-0.05
(0.6)",FALSE,"Treatment Data"
"MEpurple","Phase 2 DO",-0.0788104308802063,0.45521435956547,"-0.08
(0.5)",FALSE,"Treatment Data"
"MEmagenta","Shell Growth",-0.259002613040275,0.0126670196328719,"-0.26
(0.01)",TRUE,"Growth Data"
"MEmagenta","Tissue Growth",-0.19301489902086,0.0652711833204883,"-0.19
(0.07)",FALSE,"Growth Data"
"MEmagenta","Tissue:Shell Growth",0.00502525601806911,0.962081397028748,"0.01
(1)",FALSE,"Growth Data"
"MEmagenta","Phase 1 Interaction",0.125766859521733,0.232255184884693,"0.13
(0.2)",FALSE,"Treatment Data"
"MEmagenta","Phase 2 Interaction",0.385140022095267,0.000150066612328108,"0.39
(0.0002)",TRUE,"Treatment Data"
"MEmagenta","Phase 1 Temp",-0.00917889548849614,0.930799539046647,"-0.01
(0.9)",FALSE,"Treatment Data"
"MEmagenta","Phase 2 Temp",0.300046325305208,0.00366241256777767,"0.30
(0.004)",TRUE,"Treatment Data"
"MEmagenta","Phase 1 DO",0.143980207098428,0.170913734721745,"0.14
(0.2)",FALSE,"Treatment Data"
"MEmagenta","Phase 2 DO",0.280636931892454,0.0067353731601036,"0.28
(0.007)",TRUE,"Treatment Data"
"MEpink","Shell Growth",0.0430579004079404,0.683612007108773,"0.04
(0.7)",FALSE,"Growth Data"
"MEpink","Tissue Growth",0.0584433072050292,0.580005017714042,"0.06
(0.6)",FALSE,"Growth Data"
